photo_id,business_id,caption,label
nH3wicp9BAyHsX3229SJNw,wk6aHP-vxv9dhmmJVDWnPg,,inside
53cWKlBilwMUN571hpb7tw,QTZdKevSqb4KkWwRy-Qqrg,,food
WfwW2KqrwXC5yr5JMzaebw,RWYQMss0RzbtDGGwRI3iaQ,from the Chimichanga website,food
cdRpQ5df8c494qrd7AFq-g,RWYQMss0RzbtDGGwRI3iaQ,,inside
H81MeI29t2ouJw5LnnKGxg,prPzWXNUJKZGnzVYqxRLsw,,food
mAuoptw4rfO-T4Cqwkswrw,prPzWXNUJKZGnzVYqxRLsw,,food
HsQgLyDZsC8SyMAAoTaTpg,prPzWXNUJKZGnzVYqxRLsw,,food
XPsMeHUH7FAATlRXuJ06Rg,prPzWXNUJKZGnzVYqxRLsw,,food
WhUrumDGYy6HgF9EJl3qjQ,prPzWXNUJKZGnzVYqxRLsw,,food
4k5ZhpFyQrLoHqsLoLV9LA,prPzWXNUJKZGnzVYqxRLsw,,food
twrazHFvtEke8OmbVvoRbw,prPzWXNUJKZGnzVYqxRLsw,,food
h5mApDCugNp5FtVsXwmWnA,prPzWXNUJKZGnzVYqxRLsw,,food
IRLB79nhixxl724YeBKyKA,prPzWXNUJKZGnzVYqxRLsw,,food
GXmuI0Cg_-x-IONfIY2jMg,prPzWXNUJKZGnzVYqxRLsw,,food
zcQ2ZvNQNfuof7hnO1VRhg,prPzWXNUJKZGnzVYqxRLsw,,food
mqc4uRrjf3bhyNzP0659vQ,prPzWXNUJKZGnzVYqxRLsw,,inside
_FDvgd_fhnJyNI1VGNWr-g,prPzWXNUJKZGnzVYqxRLsw,,food
CAHyWBnuK1hTexDA6FUO5A,Sk0Ycurq7D083Qs8x65b_Q,,drink
lSKprGxdvELf-rdG2IHc6g,Sk0Ycurq7D083Qs8x65b_Q,Arancini,food
pc3W7Z3vsbdx4z4nUhOVHw,Sk0Ycurq7D083Qs8x65b_Q,Trout,food
RbO8fFVc8ghX_Cj0Sm-d_g,Sk0Ycurq7D083Qs8x65b_Q,Chocolate Truffles,food
eX8h-Il9qFpFqt1lD7hvUQ,Sk0Ycurq7D083Qs8x65b_Q,Chocolate Tasting,food
-a_PsJVlPp_xJMk8CHoWtA,Sk0Ycurq7D083Qs8x65b_Q,Tuna,food
SXCBqB8D8Fh-tE86aAaCHQ,Sk0Ycurq7D083Qs8x65b_Q,,food
cvGXzR16SOiqUIJF3acxvQ,Sk0Ycurq7D083Qs8x65b_Q,,inside
Mc6_RlgSv7JMgCbo2MkxBg,Sk0Ycurq7D083Qs8x65b_Q,,outside
ksyoDtcVaZmLtruqRk-_sw,Sk0Ycurq7D083Qs8x65b_Q,Desert was really good...everything is ok,food
cDmlD-TkxWVtH_Dveppi1w,Sk0Ycurq7D083Qs8x65b_Q,Patio,outside
T1Po_F2plKwPNZZPoqThow,Sk0Ycurq7D083Qs8x65b_Q,Patio view,outside
rjq49Cbrbet6xRTd3PrHHQ,Sk0Ycurq7D083Qs8x65b_Q,,food
nTIcq0GVjtHipBdvr3Nn3Q,Sk0Ycurq7D083Qs8x65b_Q,,food
e2jv1LLF3HAbAdJNYPp1RQ,Sk0Ycurq7D083Qs8x65b_Q,,food
13Wto1ZVisvZvnENTAgeQA,Sk0Ycurq7D083Qs8x65b_Q,,inside
9EEeMKWWr8nDQy5SSYgUMw,Sk0Ycurq7D083Qs8x65b_Q,,food
JRrvGJ_N2xIsOXq_rdunmA,Sk0Ycurq7D083Qs8x65b_Q,,menu
csRkus3J7Z7xVUEGvU8dHw,Sk0Ycurq7D083Qs8x65b_Q,,food
JmdOuMXTQ3ieoY5blJUw6Q,Sk0Ycurq7D083Qs8x65b_Q,,food
DsUlXrQfxK5B32Wn3earmw,Sk0Ycurq7D083Qs8x65b_Q,,food
V9n7Utwo7BW_w7YFjiTMeg,Sk0Ycurq7D083Qs8x65b_Q,,food
Xk8RUNo2Qx8y77HWgdPm1Q,Sk0Ycurq7D083Qs8x65b_Q,,inside
HbRPFjR9r_sCo-joK6pqeg,Sk0Ycurq7D083Qs8x65b_Q,,food
lJA88spiB7_dlTrlUP-dSw,Sk0Ycurq7D083Qs8x65b_Q,Beautiful restaurant,inside
uc3iHPdolBOF7d05u_jTJg,Sk0Ycurq7D083Qs8x65b_Q,Valentine's Day tasting menu,food
loErSsfAaX5LCMCrrvXfDQ,Sk0Ycurq7D083Qs8x65b_Q,Each person got a different dish for the 5 course tasting menu.,food
PgMOSrV2bOTKS2gnQCBDyg,Sk0Ycurq7D083Qs8x65b_Q,,food
LK2np0POilg21jS5QqZVKQ,Sk0Ycurq7D083Qs8x65b_Q,,food
-ljIJ3nTwUptsik6r7_Plg,Sk0Ycurq7D083Qs8x65b_Q,,food
m3ltEVOybb7gV6LGWr0LeA,Sk0Ycurq7D083Qs8x65b_Q,,food
nU9kf7xuWlepfGo6who3jA,Sk0Ycurq7D083Qs8x65b_Q,10 course tasting menu,food
1V2F1BioCVhWtBuxNWvbWA,Sk0Ycurq7D083Qs8x65b_Q,,food
a1DcBZTI9gHk2CV-XoXW3w,Sk0Ycurq7D083Qs8x65b_Q,,food
gFgmyl0AqdtFHE0GRUnb7w,Sk0Ycurq7D083Qs8x65b_Q,Tasting menu,food
GQKb19FX__Zr0DayfFxbfA,Sk0Ycurq7D083Qs8x65b_Q,Tuna tataki,food
FRhvBlNYuQGhGjOekQAxKw,Sk0Ycurq7D083Qs8x65b_Q,,inside
lfCagkKS8drRC_FIXaxFHw,Sk0Ycurq7D083Qs8x65b_Q,,food
Q0-0v4J5m0nC9krR5z2evw,Sk0Ycurq7D083Qs8x65b_Q,,food
2dM1HPuTF8kyjq7zYg7tRQ,Sk0Ycurq7D083Qs8x65b_Q,,food
X3oBTveih7AD-fQH-RBauw,Sk0Ycurq7D083Qs8x65b_Q,,food
G8lQDwtSOggwT_2FYHkLug,Sk0Ycurq7D083Qs8x65b_Q,,food
23-nreD0eRaXvdRiaGV_yA,Sk0Ycurq7D083Qs8x65b_Q,,inside
GACP78UgNTEKf6XlVzoCTw,Sk0Ycurq7D083Qs8x65b_Q,,inside
lR6QhZUCbV5dTN2axdgjFA,Sk0Ycurq7D083Qs8x65b_Q,,food
9EFfZpnedoe5z0_EBeQPLQ,Sk0Ycurq7D083Qs8x65b_Q,,food
IWeNwLzBswYj2VsDTf-_lg,Sk0Ycurq7D083Qs8x65b_Q,,food
UbifXyLKeR821j-AQWNm0g,Sk0Ycurq7D083Qs8x65b_Q,,food
lYx-o4QVw5-j9r1AvEWctQ,Sk0Ycurq7D083Qs8x65b_Q,,food
TOXHHb6wj3c7xZtKsUrFiw,Sk0Ycurq7D083Qs8x65b_Q,,food
yIqZpGMPYpjH_ah7nQDnpw,Sk0Ycurq7D083Qs8x65b_Q,Quail with foie gras,food
t6zk8KhyI3Tr47SkF7f8IA,Sk0Ycurq7D083Qs8x65b_Q,Here is what it looks like from the outside. You might miss it.,outside
MFFaol01gsUj2onIJuN2VQ,Sk0Ycurq7D083Qs8x65b_Q,Striped bass crudo with cilantro yogurt,food
ahxpXGiYP0purqn_EHf9kg,Sk0Ycurq7D083Qs8x65b_Q,"""Burger"" of duck confit burger, quails egg, and seared foie gras with vegetables",food
iuuEGGcX4YNfR6eD8wAKjA,Sk0Ycurq7D083Qs8x65b_Q,,food
2Ay3Zmf47NeTGH_ghy2PKw,Sk0Ycurq7D083Qs8x65b_Q,Dessert: Chocolate Mousse,food
5eMjnljgSoc0YTriBgH45A,Sk0Ycurq7D083Qs8x65b_Q,,food
b-aUGs_vViJYnnOFnGFPew,Sk0Ycurq7D083Qs8x65b_Q,,food
gHSB7_8zHBveVKbPzfynMA,Sk0Ycurq7D083Qs8x65b_Q,@FoodLoversToronto on Instagram,outside
ndNJvHB3uqw0kHDl3sGUBg,Sk0Ycurq7D083Qs8x65b_Q,Smoked trout and a side of veggies too. This was the appetizer.,food
xoX2rlBrLW64fgg2cPNZJQ,Sk0Ycurq7D083Qs8x65b_Q,Soft shell crab and a pasta sheet on the side. Very nice to see some soft shell crab added to the dinner!,food
B-21UnOsler4l6lP4056Yg,Sk0Ycurq7D083Qs8x65b_Q,,food
-ogGVTt1n6HSsNEfiEeaiQ,Sk0Ycurq7D083Qs8x65b_Q,,food
fl7Dx4lGnXj3AaiZpTifcw,Sk0Ycurq7D083Qs8x65b_Q,,food
7-H8XVPyA66j-JKkzUR1JQ,ZBSha-zoPLias7wCQ0ZyVw,Dining area,inside
7twuVaUCIM7kJCCrCm1-yQ,BxkVct02QHybp54ATZgkUQ,,food
uZ7mNNwugQ_359I7twwejA,BxkVct02QHybp54ATZgkUQ,Mango mousse from wednesday lunch buffet,food
EgRkrrbjqvjsPQDucNcGjg,webM3oChwDCkzZEmjrSeHQ,,inside
hpGgOUbUK539rhXSrCXHng,webM3oChwDCkzZEmjrSeHQ,Chicken avocado sandwich w/let tom cucumber and mayo,food
t43auHfm9Y9eeBfXN-2-BQ,iomyYWs9m6-SucLAcY3WTg,from the Michelle's Brasserie website,food
eToZHufRbmentS-AuZPqRw,iomyYWs9m6-SucLAcY3WTg,from the Michelle's Brasserie website,outside
2dAuJ_2rVHxzxXvZ0fO6Jw,iomyYWs9m6-SucLAcY3WTg,from the Michelle's Brasserie website,food
2VyIOp1L57mr4npVjiC9OQ,3HVxkz03TS_ssJ7j3x5dRA,,outside
g_p2CJMjpfZgRzxb1fQeqw,3HVxkz03TS_ssJ7j3x5dRA,Main plaza clock,outside
fduDnNgbiRWxjOna5qVNpA,3HVxkz03TS_ssJ7j3x5dRA,,outside
XBieQ3PaXLvBS4LSMzRNkA,3HVxkz03TS_ssJ7j3x5dRA,Central plaza,outside
Erskgu-IhTtGYtPScud-ng,3HVxkz03TS_ssJ7j3x5dRA,Central plaza,outside
YuGUkbEHeu9OkJiztV17fA,3HVxkz03TS_ssJ7j3x5dRA,,outside
q4BWYttVzAT2N2PlZ4ol8w,3HVxkz03TS_ssJ7j3x5dRA,,outside
qYdhOaNYAD6Bn5X5UijlTQ,3HVxkz03TS_ssJ7j3x5dRA,,outside
fjfxRz8RqvGzOqQ8A9aXXg,3HVxkz03TS_ssJ7j3x5dRA,,outside
BP9jPSdLXX42J1Jq7VcTQg,3HVxkz03TS_ssJ7j3x5dRA,,outside
RbgsSQdH3hJ7jJ9CZX95SA,3HVxkz03TS_ssJ7j3x5dRA,,outside
TWA4USZGNJF6fAyyDtwUaw,3HVxkz03TS_ssJ7j3x5dRA,Bergo,outside
bcnh6X_oERXg2RknI9wPhg,3HVxkz03TS_ssJ7j3x5dRA,,outside
VThHr0eePQyhM-DWe6ozmQ,3HVxkz03TS_ssJ7j3x5dRA,,outside
5b7btOh1kPGEc6_eHPpcXQ,3HVxkz03TS_ssJ7j3x5dRA,,inside
qJdxAikGVkOg19vSWI9gzw,3HVxkz03TS_ssJ7j3x5dRA,,outside
vQp1Gb5z0os2QNQxzvshYQ,3HVxkz03TS_ssJ7j3x5dRA,,outside
NIuS4LJ6xKAz6naQKdgj-Q,3HVxkz03TS_ssJ7j3x5dRA,,outside
JOXKb-VVi6bLDnX4Veq62A,3HVxkz03TS_ssJ7j3x5dRA,,outside
SWf95GMfMKUkKA8PIWZzeA,3HVxkz03TS_ssJ7j3x5dRA,,outside
RkfUmk4mzsO88m2DaUwyQg,3HVxkz03TS_ssJ7j3x5dRA,Doing all the things. One day in Toronto.,outside
SC-TdLDp_cbHSFfViWGzYw,3HVxkz03TS_ssJ7j3x5dRA,,inside
jfywvs_dKePjG-mvvK01mA,3HVxkz03TS_ssJ7j3x5dRA,,outside
uJLZKTnPQiQ_cSyCx0bqtw,3HVxkz03TS_ssJ7j3x5dRA,Main area off the 55 Mill Street entrance.,outside
_fVEejIAgRAeWeIggupiSw,3HVxkz03TS_ssJ7j3x5dRA,,outside
Z_YRxkw13HuO0k0jwfywvw,3HVxkz03TS_ssJ7j3x5dRA,,outside
YNMNIJlRhtv-hTwS1vpJ9Q,3HVxkz03TS_ssJ7j3x5dRA,,outside
uNLGZ3_B_F3JyMS2Xs3Qlw,3HVxkz03TS_ssJ7j3x5dRA,,outside
3PURB2dSZOb1byJdddDQMg,3HVxkz03TS_ssJ7j3x5dRA,,outside
3KwKPLxARmbqA-Ljy_ZYAg,3HVxkz03TS_ssJ7j3x5dRA,"Kunst Event zur Weihnachtszeit, ""Bäume"" aus Bierflaschen.",outside
tFmwlloShA8aiRYzsfMJNA,3HVxkz03TS_ssJ7j3x5dRA,Wunderbare Kulisse für alte Gangster Filme.,outside
tLauRb7msjc5ySDOWvsytg,3HVxkz03TS_ssJ7j3x5dRA,Coffee shop,inside
iDmLJAXO8xrB-fy_KhurHw,XXGzCIcxzAZ6H98mxZbdqA,front,outside
DF4j3ruaWJ7fExSvYUgN3Q,XXGzCIcxzAZ6H98mxZbdqA,Food tasters and frozen section,inside
xlW4fuP1BHgfgXO_1DDF7A,QoXT0qI6_3WeHImUuLAyjg,Blueberry pancake,food
d6Skwa65ZxoO0NCBbzKlhA,DPLkYvNHNBEs0teU95Ocfw,,food
dPjWdHsPh6nFuuWfuQ8m3g,DPLkYvNHNBEs0teU95Ocfw,,food
7q55OqQ_28UuCL3TM9NTnw,DPLkYvNHNBEs0teU95Ocfw,the cakes go marching four by four. hoorah! hoorah!,food
tad2G8rT1odZXd3iv3AbrA,DPLkYvNHNBEs0teU95Ocfw,"Miss Cora's Storefront, past closing time.",outside
NallW6SWxKc4jgStBeN79Q,DPLkYvNHNBEs0teU95Ocfw,Miss Cora's Infamous Mini Cupcakes,food
PK_50j3mZY8JZeFQvfip6w,QTSCFDPcuROE8UCvGS8Fiw,,food
NoQjb1kvSMMRxDxxcefAPA,QTSCFDPcuROE8UCvGS8Fiw,,food
-95RRCLiPY4LUQ76X8bBbw,QTSCFDPcuROE8UCvGS8Fiw,,food
IqKzqucv5n3ztCRFQfP2SA,QTSCFDPcuROE8UCvGS8Fiw,,food
2ha344JXszm_HBT22JvH5Q,QTSCFDPcuROE8UCvGS8Fiw,,food
c4zUbYxkATbsXx2ZP7rX2A,QTSCFDPcuROE8UCvGS8Fiw,,food
HYAAkNEo0tCDONDaSN9xnw,QTSCFDPcuROE8UCvGS8Fiw,,food
301DJJhcZw6w6HLjJC_veQ,QTSCFDPcuROE8UCvGS8Fiw,,food
bBo-bBAbXatZcp_yWWNEYA,QTSCFDPcuROE8UCvGS8Fiw,,food
G3LVorVOVJ0jRUwAohv9sw,QTSCFDPcuROE8UCvGS8Fiw,,food
ZfTRM9R_hc_0RDasvkhXfw,QTSCFDPcuROE8UCvGS8Fiw,,food
RXNsP0B1q6oR5gnWH2-xkw,QTSCFDPcuROE8UCvGS8Fiw,,food
YIgyvNR_jcERD9YcqVv6iQ,QTSCFDPcuROE8UCvGS8Fiw,,food
Ayd8rWYo9nKQa46mxYVIcQ,QTSCFDPcuROE8UCvGS8Fiw,,food
tr_-_8RTkjg4O-eLrWd8Ig,QTSCFDPcuROE8UCvGS8Fiw,,food
EtmpWLbqjyDkjLgopOJA7g,QTSCFDPcuROE8UCvGS8Fiw,,food
nHfadX0pOWJ9cy2Ib1KoQw,QTSCFDPcuROE8UCvGS8Fiw,,food
XQDn4svVJNXPl7IZU66FOQ,QTSCFDPcuROE8UCvGS8Fiw,,food
9OISY4-M6qpvjsX1rs9C_A,QTSCFDPcuROE8UCvGS8Fiw,,food
ihBwXRS99FCA3IkBlAqJgA,QTSCFDPcuROE8UCvGS8Fiw,,food
9-IfUV-SB2RtLcsKsshHlQ,QTSCFDPcuROE8UCvGS8Fiw,,food
ZtASXZgGMs74v3Vb5JWZDA,QTSCFDPcuROE8UCvGS8Fiw,,food
jIWa0gZ_By5_lbyPREfsqQ,QTSCFDPcuROE8UCvGS8Fiw,,food
Lb9Y0DjReubqDnDWTxDpwQ,QTSCFDPcuROE8UCvGS8Fiw,,food
4nv5EUmTin1qdy9_aUmm8Q,QTSCFDPcuROE8UCvGS8Fiw,,food
YDF5se3RoGYmk9mBVCc-jw,QTSCFDPcuROE8UCvGS8Fiw,"daily special, teriyaki bento lunch",food
olsA-T08vkOGKaF3OkFlbg,QTSCFDPcuROE8UCvGS8Fiw,"Galbi $12.95 + tax on GRABB APP, Download app for the first time and use promo code XA3QZ and get $5 added to your new account.",food
g7OdZe2w0NBKf4EkygEQ6Q,QTSCFDPcuROE8UCvGS8Fiw,Spicy chicken soup,food
8c_BCgOffqWyYaPfl3md6g,nHV1iXKBVlCW64bCt4itnA,The Long bar!,inside
mybcxkmOVGN3eg91bGjKqg,oICXzFAaUMrYGzjRWmkw4Q,Courtesy of Neil Ta Photography: www.neilta.ca,outside
0RMMplhO2Pnsh3MJ9L103Q,oICXzFAaUMrYGzjRWmkw4Q,Nem nuong,food
u2M7Dg2aeqX30Lzx3dZ5kg,oICXzFAaUMrYGzjRWmkw4Q,,outside
YQXaWXz1xkEU1hU3dG79iA,oICXzFAaUMrYGzjRWmkw4Q,I found the noodles a tad on the over cooked side. But the broth was very good.,food
M1MeDTM4vpXej9HKXxEGug,oICXzFAaUMrYGzjRWmkw4Q,,outside
Q-XZ22frRKDd7x1nSPI6BA,oICXzFAaUMrYGzjRWmkw4Q,,outside
MHqzazejUPGDFqmOgl_lpg,oICXzFAaUMrYGzjRWmkw4Q,,food
7KdJTdhV8FcLBtv4r1DUIQ,oICXzFAaUMrYGzjRWmkw4Q,,inside
-n2o4fqo6XPtiJq_GJi5Dg,OQknXfMqo6izK9baqpfinA,,outside
LXFTJb_2uVyxmnHBkFe74A,OQknXfMqo6izK9baqpfinA,The cup and pot come together!,food
u4S8nut26ouyOLsJCTxPYg,OQknXfMqo6izK9baqpfinA,The 6 sugar cakes we started the decorating with.,food
I-Gwvd-azQTRqDGF1DagoA,OQknXfMqo6izK9baqpfinA,"Wonderful ginger ice cream, peach pie and a couple of madeleines!",food
EIHQv68JNJT_eTUKuKPHDA,wMr1NZCfOp8rgDe6gUHoQg,"the Hoser, Eh? sandwich ! all plates always served with a moon shaped slice of grapefruit",food
ygwSBUFzlVmivW-JiQhJvQ,wMr1NZCfOp8rgDe6gUHoQg,Egg-white omelet with fruit and brown toast.,food
DsYsLrvHBhZUwNFIv6SZGg,wMr1NZCfOp8rgDe6gUHoQg,"Vegan scrambler, with gluten free bread, salad, and their house made sauce...pretty good!",food
_ijsTMXi3Ienc4adQm2yxA,tgZU8QAowa7V4Af6DV9UUg,,inside
tz6_aRLCImebXnzvJh6AvQ,eQel7bUz75j0AVKnfsillg,from the Korean Grill House website,food
pHLEvqj2FqLIIulmXEFt8Q,eQel7bUz75j0AVKnfsillg,,outside
IzUXsMJoYgxekxDb5H0Dtg,eQel7bUz75j0AVKnfsillg,Pictures Taken by John Carvalho,food
t4eQ_G-hGc3buNwhHkzhzQ,eQel7bUz75j0AVKnfsillg,Pictures Taken by John Carvalho,food
PYVjV1y2lV0kBrUzp_63QQ,eQel7bUz75j0AVKnfsillg,,food
_d7ixEga7V4HAxG5VkZKRw,eQel7bUz75j0AVKnfsillg,,food
FV-d9HUQqaoje_boy1IUCA,eQel7bUz75j0AVKnfsillg,All stacked and ready to start,food
WVfEdYO1EdvOXAHAaxTedw,eQel7bUz75j0AVKnfsillg,View from front looking into restaurant,inside
QxKKU2TXlAwmeDsGfQ0UqA,0BW6h-igJinzbqc-prYUaQ,,inside
80xvSNbV0pxu27M6wl9_ow,0BW6h-igJinzbqc-prYUaQ,,inside
qJYzDrmx9b85ZesqIxVVWg,0BW6h-igJinzbqc-prYUaQ,Hand crafted cocktails with fresh ingredients.,drink
3pshI4tmFfbdPIL4ao9IuQ,0BW6h-igJinzbqc-prYUaQ,French Onion soup.,food
PFhkjgW0SmMFmnPl7Cpz3w,0BW6h-igJinzbqc-prYUaQ,,drink
M4dr8u5igPe3OL6pRZXXXg,0BW6h-igJinzbqc-prYUaQ,,inside
6k3bhR-AIZSSchdk3wS3eQ,0BW6h-igJinzbqc-prYUaQ,,outside
kRpZp14RUBxReOjW-evIeg,0BW6h-igJinzbqc-prYUaQ,,inside
aLKgr_9zwhpqnR0PpRttqA,0BW6h-igJinzbqc-prYUaQ,Hy's Steakhouse,outside
S419C0HIol65XUGwyHSyVg,0BW6h-igJinzbqc-prYUaQ,,food
2nUVPNcN7tB3poNvoATGSA,0BW6h-igJinzbqc-prYUaQ,Ahi Tuna app,food
wLVIhTSC77bXcCoyA3vAdg,BS0GcQ1kUag8YJ2qcBH2lQ,"the yorkville plate of cheese: brie de maux, aged goat cheese, super yummy blue cheese (overall, so so)",food
v70VXDR7kMdHCgyLQuQowQ,BS0GcQ1kUag8YJ2qcBH2lQ,,inside
lHcvopIfh4E_4_dMasoHSg,BS0GcQ1kUag8YJ2qcBH2lQ,,food
MxtgVner4XaUOTLTuOUAOQ,N3kWVpuWHuRwYG58u5cIKw,Safari Bar & Grill - Dine.TO,outside
jN0sGSqMn96qGmLAs5SrFA,N3kWVpuWHuRwYG58u5cIKw,Safari Bar & Grill - Dine.TO,outside
Vk1CLkenAKKl0zOxPSOOlw,N3kWVpuWHuRwYG58u5cIKw,Safari Bar & Grill - Dine.TO,inside
8ECr1SScortjJjZm4IFUCQ,N3kWVpuWHuRwYG58u5cIKw,Safari Bar & Grill - Dine.TO,inside
NHaKVoFBTIJMUnV2JaZ7Vw,FqviVFdQac_dVwVMrNtGBA,Veggie rice and bean burrito. Perfect study meal.,food
jJsTQnWp6uitzxn7FOzlYg,Orgm9nmcClxnAUva4nOKyA,"Cappelletti- Stuffed with ricotta, mozzarella and romano cheese, baked in a rose cream sauce",food
