business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
i2Fd0dl39BZ8nVxBnSPsKg,Anchor Bar,Etobicoke,636 Dixon Road,Toronto,ON,M9W 1J1,43.6910854,-79.5755866,3,38,1,"Salad, Chicken Wings, Sandwiches, Pizza, Restaurants"
2j5hnwYzS-YLJn6IFqloCw,I Wings,Queen Street West,404 Queen Street W,Toronto,ON,M5V 2A6,43.6486781,-79.3972345,3.5,4,0,"Restaurants, Pizza, Chicken Wings"
_T8qy9XAKAFLJdmoLg1Q-g,Burrito Boyz,Willowdale,5314 Yonge Street,Toronto,ON,M2N,43.7729924508,-79.4140518612,4,121,1,"Mexican, Restaurants"
FI6XxleZ6Z1xJ9BS4zLKgQ,Chan Yang,Willowdale,"5 Northtown Way, Unit 7",Toronto,ON,M2N 7A1,43.7743736325,-79.4140428131,3.5,3,1,"Asian Fusion, Taiwanese, Restaurants"
Bw_rDtU2REt7ZlkPWT21kg,Sunny Foodmart,Etobicoke,1620 Albion Road,Toronto,ON,M9V 4B4,43.7420185,-79.5910764,4,4,1,"Ethnic Food, Specialty Food, Imported Food, Food, Grocery"
2tg7rpwAbrex81bMKOnOtQ,Loblaws,,11 Redway Road,Toronto,ON,M4H 1P6,43.6990972,-79.3597232,2,10,1,"Food, Grocery"
McKxaJL3dhq7i4oHa9IwKg,A'dore Nail Bar,Dufferin Grove,861 College Street,Toronto,ON,M6H 1A1,43.6541178,-79.42355,3,7,1,"Beauty & Spas, Nail Salons"
vwVoksbTKehDP8ZGUQaVfQ,Sweet Mahal,Etobicoke,"680 Rexdale Boulevard, Unit 9",Toronto,ON,M9W 0B5,43.7210775,-79.6137669,3.5,25,1,"Restaurants, Food, Indian"
AoItX6upESFG_EowRa05eg,Ave Maria Latin Café,Koreatown,631 Bloor Street W,Toronto,ON,M6G 1K8,43.6643448,-79.4143913,4.5,27,1,"Coffee & Tea, Grocery, Latin American, Restaurants, Food"
WwGG-NPpxyyAB_H4UdyBbA,Proper Barbers,Kensington Market,73 Kensington Avenue,Toronto,ON,M5T 2K2,43.6545234,-79.4005358,4,15,1,"Beauty & Spas, Barbers, Hair Salons"
Omn2qqVcTpH9J883EVhQ7g,Quesada Mexican Grill,The Annex,200 Bloor St W,Toronto,ON,M5S,43.6685637,-79.3954589,2.5,16,0,"Mexican, Restaurants"
Gv8u5bX_Kd7HG7jkeF_vWA,Ten Feet Tall,The Danforth,1381 Danforth Avenue,Toronto,ON,M4J 1N2,43.6822547,-79.3280136,3,5,0,"Cafes, Arts & Entertainment, Music Venues, Nightlife, Restaurants"
3YKV1eralyrKQqoWOTJMDA,Giulietta,Dufferin Grove,972 College Street W,Toronto,ON,M6H 1A5,43.6535007,-79.427609,4.5,12,1,"Italian, Restaurants"
Fi3x4W9PjynIEvAYOrOzdQ,"Sarah Watson, RMT",Greektown,475 Danforth Avenue,Toronto,ON,M4K 1P1,43.677867,-79.350024,5,3,1,"Health & Medical, Massage, Beauty & Spas, Massage Therapy, Physical Therapy"
G4TJIm3bho3Hb3K2usIo4Q,Brooklyn Furniture Importers,,3742 Bathurst Street,Toronto,ON,M3H 3M4,43.7367236,-79.4341663,3.5,6,1,"Shopping, Mattresses, Home & Garden, Baby Gear & Furniture, Furniture Stores"
ZP_1K8uC-YGbdPQ0KfNJog,Folly Brewpub,Dufferin Grove,928 College Street,Toronto,ON,M6H 1A4,43.6537193,-79.4258332,4,24,1,"Brewpubs, Gastropubs, Nightlife, Food, Bars, Breweries, Restaurants"
p7vvL9T6iXiL7c9I2gPGEA,Lindt Boutique Toronto - The Path,Financial District,"130 King Street W, Units CL5, CL6, CL7",Toronto,ON,M5X 1A9,43.64842,-79.3819,4,7,1,"Specialty Food, Candy Stores, Chocolatiers & Shops, Food, Desserts"
xS5Tg_H9GBEyOTWl9JwhvA,Latin World,Bloordale Village,1229 Bloor Street W,Toronto,ON,M6H 1N6,43.6586437,-79.4408403,4,25,1,"Restaurants, Specialty Food, Food, Latin American, Ethnic Food, Imported Food"
YSBOJuLA70d6s1fAWBjbAA,Galaxy T&T,Bloordale Village,1227A Bloor Street West,Toronto,ON,M6H 1N6,43.6586622,-79.4407564,5,5,1,"Specialty Food, Sandwiches, Juice Bars & Smoothies, Restaurants, Food, Fruits & Veggies, Vietnamese"
EBzr465prEffkpmE8Mk5AA,Polish'd Nail Bar,Financial District,"Adelaide Centre, 130 Adelaide St West Concourse Level",Toronto,ON,M5H 3P5,43.649592,-79.383394,2.5,7,1,NA
RBSM11yZ5X-oi_mFULZH_w,Dress Code by Ciao Bella,Downtown Core,462 Yonge Street,Toronto,ON,M4Y,43.6618003845,-79.383605957,2,3,1,"Women's Clothing, Fashion, Shopping"
mHdichTxwzXI7n7lWNCj0Q,iTech Wireless,,2019 Avenue Road,Toronto,ON,M5M 4A5,43.7354496,-79.4198638,3.5,5,1,"IT Services & Computer Repair, Mobile Phone Repair, Local Services"
ITy0inRPpnKa_4ent9Y0oA,Dr. Scott Gillanders,Church-Wellesley Village,2 Carlton Street,Toronto,ON,M5B 1J3,43.6616782,-79.3828415,5,3,1,"Dentists, General Dentistry, Health & Medical"
SS0zUU0cUkQd1Lp_h3tgaQ,Hero Certified Burgers - Bloor & Bathurst,Palmerston,"571 Bloor St. W., Unit 1",Toronto,ON,M6G 1K3,43.6649625542,-79.4113332276,3,19,0,"Restaurants, Burgers"
b0la3LqC0mIlBVlQDyMyTQ,The Wing Company,Christie Pits,858 Bloor Street W,Toronto,ON,M6G 1M4,43.6623822,-79.4243452,3,34,0,"Restaurants, Food Delivery Services, Food, Burgers, Chicken Wings"
YA7kPicnPFqd_gydw0SOjw,Presse Café,Discovery District,875 Bay Street,Toronto,ON,M5S 3K6,43.662622,-79.3863994,3.5,10,1,"Cafes, Coffee & Tea, Restaurants, Food"
YkAIlxYZ1guSqbbowU9X4g,Luckee,Entertainment District,328 Wellington Street W,Toronto,ON,M5V 3T4,43.6446974,-79.3923951,3.5,171,1,"Restaurants, Chinese, Dim Sum, Breakfast & Brunch"
DM6SwVs5ksGe9mWKO94Q0A,The Painted Lady,Ossington Strip,218 Ossington Avenue,Toronto,ON,M6J 2Z9,43.6491122,-79.4209542,3.5,51,1,"Lounges, Nightlife, Arts & Entertainment, Event Planning & Services, Bars, Music Venues, Venues & Event Spaces, Pubs"
D_VpAGPNEde64N0CwXMkiw,The Second Cup,Riverdale,355 Danforth Avenue,Toronto,ON,M4K 1N7,43.6772213,-79.3529116,3.5,10,1,"Food, Coffee & Tea"
sYKB4nITCLLFcCZPn3QECQ,Teppan Kenta,Downtown Core,"24 Wellesley W, Unit 1",Toronto,ON,M4Y 2X6,43.665279,-79.385945,3.5,58,0,"Japanese, Restaurants, Food"
ii_zDR8crbQVJehMMWoCkQ,Marathon Donuts & Coffee Shop,Milliken,"3300 Midland Ave, Unit 32",Toronto,ON,M1V,43.8067504,-79.2888581,4,76,1,"Donuts, Food, Coffee & Tea"
4SQvBWjDh_eUx_10M-eigA,Lan Restaurant,Riverdale,755 Queen Street E,Toronto,ON,M4M 1H3,43.6591967,-79.3479061,3.5,34,1,"Restaurants, Vietnamese"
oLzApuB8Smdi48ArtTtZOQ,Wise Guys Deluxe Grill & Bar,The Danforth,2301 Ave Danforth,Toronto,ON,M4C 1K5,43.6869015,-79.3075378,2.5,3,0,"Bars, Nightlife, Dive Bars"
lLujm0yuar140PoNMDqStA,Alexandra Dry Cleaners,,2716 Yonge Street,Toronto,ON,M4N 2H9,43.7176325,-79.4008505,2.5,3,1,"Local Services, Laundry Services, Dry Cleaning, Dry Cleaning & Laundry"
QoXT0qI6_3WeHImUuLAyjg,The George Street Diner,Corktown,129 George Street,Toronto,ON,M5A 2M6,43.6530078233,-79.3714184956,3.5,110,1,"Restaurants, Breakfast & Brunch, Diners"
reVvDQpFsI7UeAdFsMctwA,K&M Barber Shop,Etobicoke,3545 Lakeshore Boulevard W,Toronto,ON,M8W 1P4,43.5942809,-79.5329919,3.5,3,1,"Beauty & Spas, Barbers, Hair Salons"
webM3oChwDCkzZEmjrSeHQ,The Croissant Tree,Church-Wellesley Village,625 Church Street,Toronto,ON,M4Y 2G1,43.6695736876,-79.3823492115,3.5,52,1,"Restaurants, Food, Sandwiches, Caterers, Breakfast & Brunch, Coffee & Tea, Event Planning & Services"
eIcTq4cwZjkj6-99vyjotw,Dr. Martens,Queen Street West,391 Queen Street W,Toronto,ON,M5V 2A5,43.6489694,-79.39434,3.5,11,1,"Shoe Stores, Fashion, Shopping"
xsZ0KFE1Kno01buap9DuxQ,Bennett Cleaners,Leslieville,1047 Gerrard Street E,Toronto,ON,M4M 1Z7,43.6689389,-79.3362796,2.5,3,1,"Laundry Services, Dry Cleaning & Laundry, Local Services"
uO0isEg1fCvL0BqfDRbVjA,Godiva Chocolatier,,3401 Dufferin Street,Toronto,ON,M6A,43.7247752,-79.4553801,3.5,4,1,"Desserts, Food"
Uyn8Ku6w9fRTmZ0nHds0OQ,Summerhill Spa,Yorkville,154 Cumberland Street,Toronto,ON,M5R 1A8,43.6700794,-79.3932896,3.5,26,1,"Beauty & Spas, Nail Salons, Day Spas"
cA5DOLBmD_XoNmgj7e3caA,Fox and Fiddle Yorkmills,,865 York Mills Road,Toronto,ON,M3B 1Y6,43.7547555,-79.3499924,3,47,1,"Bars, Canadian (New), Music Venues, Arts & Entertainment, Nightlife, Restaurants, Pubs"
_fe36eepp9tsP5vzvKbdQA,Furama Cake & Dessert Garden,Financial District,100 King St W,Toronto,ON,M5X 1A9,43.6486362,-79.3817439,3.5,17,1,"Food, Bakeries"
GrHRFIQIcZzQH172M0L_YA,Rejuvederme Medical Aesthetics,Yorkville,110 Yorkville Avenue,Toronto,ON,M5R 3K5,43.670948,-79.3928349,2.5,9,1,"Health & Medical, Medical Spas, Beauty & Spas"
nNuEYw5HuEKSyJFyVkjuYg,Harry Rosen,Downtown Core,"Eaton Centre, 218 Yonge Street",Toronto,ON,M5B 2H6,43.6528924618,-79.3798386678,4,12,1,"Accessories, Shopping, Men's Clothing, Fashion, Formal Wear"
8zJAGhUZEh836P-E-mGiMw,Phoenix Concert Theatre,,410 Sherbourne St,Toronto,ON,M4X 1K2,43.6647275,-79.3741718,3,60,1,"Nightlife, Music Venues, Arts & Entertainment"
NRD1gU-iPCYQMZFVfyfi8A,Cumberland Shoe Repair,Yorkville,2 Bloor Street W,Toronto,ON,M4W 3E2,43.6704097,-79.3872779,4,3,1,"Local Services, Shoe Repair"
42-UJ-c_97IeqUc6BWjmnA,Pho 88,,"900 Don Mills Road, Unit 9",Toronto,ON,M3C 1V6,43.7268982,-79.3420715,2.5,66,1,"Restaurants, Thai, Vietnamese"
gt-U8EfMzQsWjGtXS6wt0w,The Nite Owl - Brockton,Brockton Village,1695 Dundas Street W,Toronto,ON,M6K 1V2,43.6498594104,-79.4378175,4.5,3,1,"Barbers, Beauty & Spas"
fMhTgEHAssaJmwhA-E3RLw,Vera Wang,The Annex,38 Avenue Road,Toronto,ON,M5R 2E3,43.6703971,-79.3950228,2.5,13,1,"Bridal, Shopping, Women's Clothing, Fashion"
Vmm_RKD3Mq_wezuCxkAt6A,Chartwell Shopping Centre,Scarborough,2301 Brimley Road,Toronto,ON,M1S 5B8,43.7977079,-79.2722368,3.5,6,1,"Shopping, Shopping Centers"
zrQlLZLhToH4IHi8jCcbdQ,Diesel Playhouse,Entertainment District,56 Blue Jays Way,Toronto,ON,M5V 2G3,43.6454458,-79.3923588,3.5,3,1,"Arts & Entertainment, Performing Arts"
Jy96qxfFFH4Wa-KhkmwSMw,La Paloma Gelateria & Cafe,,1357 Saint Clair Aveune W,Toronto,ON,M6E 1C5,43.6759283,-79.4508751,4,68,1,"Food, Ice Cream & Frozen Yogurt"
5DnIECDn54PCOCLksrsD3w,Dirty Minds Comedy Dinner Theatre,,292 College Street,Toronto,ON,M5T 1R9,43.6577564,-79.4013373,2.5,3,1,"Comedy Clubs, Nightlife"
iQ6ydwCOKHlz8BPpJpj2Zg,Yummi Café Laundromat,,956 Saint Clair Avenue W,Toronto,ON,M6E 1A1,43.6796762,-79.4361019,3,4,1,"Restaurants, Local Services, Laundromat, Event Planning & Services, Venues & Event Spaces, Dry Cleaning & Laundry, Laundry Services, Cafes"
pC9g9aNF9mGV3jGo0xdYSA,Artemano - Don Mills,,"1090 Don Mills Road, Unit N012A",Toronto,ON,M3C 3R6,43.7364416,-79.344201,2.5,10,0,"Home Decor, Shopping, Home Services, Home & Garden, Lighting Fixtures & Equipment, Kitchen & Bath, Furniture Stores"
qWWVizgVxBaXXbE8Y-7-qA,Pizza Pizza,Yonge and Eglinton,2295 Yonge Street,Toronto,ON,M4P 2C6,43.7076725,-79.3981607,2.5,14,1,"Pizza, Restaurants"
TVDsSTurM58zneq_q_ZNOA,Monica's Nails & Spa,Scarborough,2085 Lawrence Avenue E,Toronto,ON,M1R 2Z4,43.745727,-79.292741,3.5,8,1,"Nail Salons, Beauty & Spas, Day Spas"
bUO8dz-qFbjglu2dF_6-zw,Toronto BJJ,Bickford Park,813 Bloor Street W,Toronto,ON,M6G 1L8,43.6625624,-79.4217661,4,10,1,"Specialty Schools, Education, Active Life, Sporting Goods, Fitness & Instruction, Martial Arts, Shopping"
hrfjA0CiLRbSqHysvi9DAw,Cinderella Vintage,Kensington Market,56B Kensington Avenue,Toronto,ON,M5T 2K1,43.6541958,-79.4004964,2.5,3,1,"Shopping, Thrift Stores"
tOcYmewXFhQeZh3V42ymwg,Kudlow and McCann Professional,Yonge and St. Clair,"21 St Clair Avenue E, Suite 401",Toronto,ON,M4T 1L9,43.6882141,-79.3927559,3.5,3,1,"Professional Services, Tax Services, Accountants, Financial Services"
kniu06ep57Y8kwW3mEwv9g,Gorgeous Lady Nail Salon,Yorkville,128-1/2 Cumberland St,Toronto,ON,M5R 1A6,43.670245799999996,-79.3922381,3.5,6,1,"Nail Salons, Beauty & Spas"
l3lAJgkvY8Az8Nftc-UQPw,Archery Circuit,Scarborough,3791 Victora Park Avenue,Toronto,ON,M1W,43.8097261,-79.3384229,4.5,15,1,"Active Life, Archery"
jWRq5lrEinxZPzbMIeVecQ,Natural Beauty Nails,The Annex,"362 Bloor Street W, 2nd Floor",Toronto,ON,M5S 1X6,43.6664844,-79.4058478,3,9,1,"Nail Salons, Beauty & Spas"
k28OVH_iA7vI5dPtfNH2Zw,Manhattan Classic Grill,,3200 Dufferin St,Toronto,ON,M6A 3B2,43.7186121,-79.4559215,3,4,0,"Steakhouses, Restaurants"
wk6aHP-vxv9dhmmJVDWnPg,Crews & Tangos,Church-Wellesley Village,508 Church Street,Toronto,ON,M4Y 2C8,43.6641925,-79.3805449,3,66,1,"Gay Bars, Nightlife, Bars"
neBW0IYhxkj9zE7R4TA3BQ,Chipotle Mexican Grill,Etobicoke,"25 The W Mall, Unit F012",Toronto,ON,M9C 1B8,43.6129820927,-79.5583543809,1.5,10,1,"Fast Food, Mexican, Restaurants"
429xxwcg4BzVeViCcwa3aA,Murale,,4 Aggie Hogg Gardens,Toronto,ON,M3C 0G6,43.7345391535,-79.3459670934,4,14,1,"Beauty & Spas, Shopping, Cosmetics & Beauty Supply"
E9K1wSwr-3y7TIaVaoa-9g,Irish Potato Nachos,Downtown Core,213 Church St,Toronto,ON,M5B 1Y7,43.655554,-79.376572,3,4,0,"Irish, Specialty Food, Food, Restaurants"
P-9hu1K0p1Zs5immScVM4w,Gerry's Shoe Repair,Downtown Core,700 University Ave,Toronto,ON,M7A,43.6590858,-79.3914771,3,7,1,"Local Services, Shoe Repair"
th925nxccD-YDAItCM6roQ,Social Dance Spot,Corso Italia,1209 Saint Clair Avenue W,Toronto,ON,M6E 1B5,43.6775355,-79.4445408,4.5,4,1,"Dance Clubs, Active Life, Dance Studios, Nightlife, Fitness & Instruction"
xZkEavhjO4r-6D1QS9aAgg,Gadabout,Leslieville,1300 Queen Street E,Toronto,ON,M4L 1C4,43.6638137,-79.3282785,4,8,1,"Used, Vintage & Consignment, Antiques, Shopping, Fashion"
wL5yGvlL1zXZ4EPJ8d0hIA,Rolltation,Yonge and Eglinton,2291 Yonge Street,Toronto,ON,M4P 2C6,43.7075497,-79.398122,4,73,1,"Sushi Bars, Food, Poke, Restaurants, Asian Fusion, Fast Food"
zqRmOmO38SLmv3fmeoK3hA,Amnesia Bar & Grill,The Annex,526 Bloor Street W,Toronto,ON,M5S 1Y3,43.6653031,-79.4104383,3,11,1,"Bars, Nightlife, Dive Bars"
DQf63-KJ25m-kDIMto614g,Saving Grace,Trinity Bellwoods,907 Dundas Street W,Toronto,ON,M6J 1V9,43.6508652,-79.4124287,3.5,184,1,"Restaurants, Breakfast & Brunch"
JPhR4VIN_FeKDJb4H-F1nA,Intact Insurance,Downtown Core,700 University Avenue,Toronto,ON,M5G 0A1,43.6588089,-79.3909892,3,3,1,"Insurance, Financial Services"
C4IiygusgzhVTTqK_DgQrw,Emkiro Health Services,Downtown Core,"70 University Avenue, Ste 120",Toronto,ON,M5J 2M4,43.6466123,-79.3847471,3,30,1,"Sports Medicine, Massage, Medical Centers, Doctors, Massage Therapy, Health & Medical, Acupuncture, Beauty & Spas, Chiropractors, Physical Therapy"
-f0dN_Ky8yF2mfMoaU4qtg,Media Bar,Entertainment District,77 Peter Street,Toronto,ON,M5V 2G4,43.6466802,-79.3924822,3.5,5,0,"Nightlife, Dance Clubs"
eQtjMhbIJ0pg6SqiQGRu9g,The Cookbook Store,Yorkville,850 Yonge Street,Toronto,ON,M4W 2H1,43.6718426,-79.3876081,4,6,0,"Newspapers & Magazines, Shopping, Bookstores, Books, Mags, Music & Video"
NrFsdILQztHSlIUNra82nQ,Juice Box,Church-Wellesley Village,491 Church St,Toronto,ON,M4Y 2C6,43.6651873,-79.3805874,5,12,1,"Juice Bars & Smoothies, Food"
wCvwfvtvrPPRssBqpgYlhg,Rosedale Subway Station,Summer Hill,1009 Yonge St,Toronto,ON,M4W 1S9,43.6769328402,-79.3894714491,3.5,3,1,"Hotels & Travel, Transportation, Public Transportation"
nyM76RUyFzekHHmYEU-KBQ,Eat Fresh Be Healthy,Downtown Core,185 Dundas Street W,Toronto,ON,M5G 1C7,43.6549946,-79.3866757,4,172,0,"Indian, Restaurants, Italian"
SWY3zdYqwn6JfDQLL0zL9A,Structure Salon and Spa,Queen Street West,173 Spadina Ave,Toronto,ON,M5T,43.6492605,-79.3961587,3.5,3,1,"Waxing, Day Spas, Hair Removal, Hair Salons, Beauty & Spas, Nail Salons"
ryF2_VC8OSNoe3VlA3bbkw,Shogun Japanese Restaurant,Yorkville,154 Cumberland St,Toronto,ON,M5R 1A8,43.6700794,-79.3932896,3.5,51,1,"Japanese, Restaurants, Sushi Bars"
BQw0uzOsgTZ_FhyEaFqFdw,The Glam,Etobicoke,2453 Lakeshore Boulevard W,Toronto,ON,M8V 1C5,43.6135211,-79.4894362,3.5,3,1,"Nail Salons, Eyelash Service, Beauty & Spas"
bE85F7GbIscq3Fqu8ghWWA,Beauty Lounge Salon & Spa,,"1500 Bathurst Street, Unit 5",Toronto,ON,M5P 3L3,43.6841058,-79.4190283,4.5,9,1,"Hair Salons, Day Spas, Hair Removal, Waxing, Beauty & Spas, Skin Care"
AN4rUuONoLimXU6DhrT4sQ,Foot Locker,Downtown Core,218 Yonge Street,Toronto,ON,M5B 2H6,43.653224,-79.3803279,1,3,1,"Shoe Stores, Shopping, Fashion"
aTvzqD5Kot4vp3vOnDyrTw,Messini Authentic Gyros Yonge Eglinton,Yonge and Eglinton,2311 Yonge Street,Toronto,ON,M4R 2H1,43.7078026,-79.3985359,3.5,82,0,"Restaurants, Greek"
YDqXkXVkoRxXoXH9aEZGLg,South China Herbs Market,Chinatown,493 Dundas Street W,Toronto,ON,M5T 1H1,43.65291,-79.3975229,4,4,1,"Specialty Food, Herbs & Spices, Health Markets, Food"
0l90vjr4wWhBypxnWXuuhg,Yves Rocher,Downtown Core,220 Yonge st,Toronto,ON,M5B 2L7,43.653929,-79.3802132,2.5,6,1,"Beauty & Spas, Cosmetics & Beauty Supply, Shopping"
MkiwqZEiF7035iOkUFHp1g,Moskito Bite,Kensington Market,423 College Street,Toronto,ON,M5T 1S9,43.6564272,-79.4070847,3.5,5,0,"Nightlife, Dance Clubs"
wGpspVUf7VAAGZ8PViGr_g,Eurolite,,"200 Queens Quay E, Suite 6",Toronto,ON,M5A 4K9,43.6462692,-79.3631878,3,4,1,"Shopping, Lighting Fixtures & Equipment, Home Services, Home & Garden"
oICXzFAaUMrYGzjRWmkw4Q,Anh Dao,Chinatown,383 Spadina Avenue,Toronto,ON,M5T 2G6,43.656345,-79.3989615,3.5,85,1,"Asian Fusion, Vietnamese, Restaurants"
yENVQfQhSljHGz-BbHHKQg,Farm Fresh Mart,Scarborough,4466 Sheppard Ave E,Toronto,ON,M1S 1V2,43.7887023,-79.2667077,3,10,1,"Grocery, Food"
cM0KcsT6iSJ4-ERiWZrbig,Senses Spa,Downtown Core,"Sheraton Centre Toronto Hotel, 123 Queen Street W",Toronto,ON,M5H 3M9,43.6511809,-79.3844646,3,11,1,"Beauty & Spas, Day Spas, Massage"
tgjbQEtZ_bvQBJOlfiK1OA,Mideastro Yorkville,Yorkville,27 Yorkville Avenue,Toronto,ON,M4W 1L4,43.6715509,-79.3888742,3.5,28,0,"Mediterranean, Middle Eastern, Italian, Restaurants"
B13_8wxUtqlnPKA4BCE7GQ,Studio Brillantine,Parkdale,1518 Queen Street W,Toronto,ON,M6R 1A4,43.6403542,-79.4386714,3.5,8,1,"Shopping, Accessories, Fashion, Kitchen & Bath, Gift Shops, Flowers & Gifts, Home Decor, Toy Stores, Home & Garden"
sTigKodOrD_HIdcZ8msGJw,Sunset Grill Restaurant,The Danforth,1602 Danforth Ave,Toronto,ON,M4C 1H6,43.6836027,-79.3230886,3,32,1,"Restaurants, Breakfast & Brunch, Diners"
prPzWXNUJKZGnzVYqxRLsw,Cafe Pleiade,Mount Pleasant and Davisville,557 Mount Pleasant Road,Toronto,ON,M4S 2M5,43.7031107,-79.3876981,3.5,7,1,"French, Cafes, Mediterranean, Restaurants"
h0TKP2PK0QaAqvqdILU1Vg,The Gaslight,The Junction,1426 Bloor Street W,Toronto,ON,M6P 3L4,43.6572335,-79.4480427,4.5,17,1,"Pubs, Bars, Nightlife, Cocktail Bars, Food"
ivWqUfAW6tTJxfH4WO5wgQ,Scarborough Centre Station,Scarborough,290 Borough Drive,Toronto,ON,M1P,43.7739087,-79.2533629,3,4,1,"Hotels & Travel, Public Transportation, Transportation"
G7FRxL25QFiuVxUeTmKXjQ,Paul's Tomato Pie,,1 Romar Crescent,Toronto,ON,M6B 1R7,43.7061727,-79.4424164,4,4,0,"Italian, Restaurants, Pizza"
gcec09O3lhUrzqXNJq0QVQ,Karbouzi,,2048 Avenue Road,Toronto,ON,M5M 4A6,43.736206,-79.4203754,3.5,14,1,"Greek, Restaurants"
dG5gkQBQNDU0lNTSvlcZNw,Cyclemotive,Niagara,156 Bathurst Street,Toronto,ON,M5V 2R3,43.6460244,-79.4039413,3.5,20,1,"Bikes, Sporting Goods, Shopping"
_x5oSMpXGEoAPz8eePn0VQ,Hair Code,Riverdale,743 Queen Street E,Toronto,ON,M4M 1H4,43.6590547,-79.3483378,4.5,20,1,"Hair Salons, Beauty & Spas"
jPsYewglXykobaR7F14Ykw,The Broadview Hotel,Riverdale,106 Broadview Avenue,Toronto,ON,M4M 2G1,43.6591061,-79.350019,3,65,1,"Event Planning & Services, Hotels & Travel, Hotels"
14m4FbWr2BIgrbSdPBKG8Q,Debu's Indian Cuisine,Kensington Market,291 Augusta Ave,Toronto,ON,M5T 2M2,43.6563207,-79.4025622,3.5,6,0,"Restaurants, Indian"
6a7zecn8W8r9dDWwQVb6aA,Novecento,Corso Italia,1228 Saint Clair Avenue W,Toronto,ON,M6E 1B7,43.6775605,-79.4451386,4.5,7,0,"Restaurants, Italian"
